row,document_raw,document_digits,key_used,reason
684,,,0,Documento vazio
685,,,0,Documento vazio
686,,,0,Documento vazio
687,,,0,Documento vazio
688,,,0,Documento vazio
689,,,0,Documento vazio
690,,,0,Documento vazio
691,,,0,Documento vazio
692,,,0,Documento vazio
693,,,0,Documento vazio
694,,,0,Documento vazio
695,,,0,Documento vazio
696,,,0,Documento vazio
697,,,0,Documento vazio
698,,,0,Documento vazio
699,,,0,Documento vazio
700,,,0,Documento vazio
701,,,0,Documento vazio
702,,,0,Documento vazio
703,,,0,Documento vazio
704,,,0,Documento vazio
705,,,0,Documento vazio
706,,,0,Documento vazio
707,,,0,Documento vazio
708,,,0,Documento vazio
709,,,0,Documento vazio
710,,,0,Documento vazio
711,,,0,Documento vazio
712,,,0,Documento vazio
713,,,0,Documento vazio
714,,,0,Documento vazio
715,,,0,Documento vazio
716,,,0,Documento vazio
717,,,0,Documento vazio
718,,,0,Documento vazio
719,,,0,Documento vazio
720,,,0,Documento vazio
721,,,0,Documento vazio
722,,,0,Documento vazio
723,,,0,Documento vazio
724,,,0,Documento vazio
725,,,0,Documento vazio
726,,,0,Documento vazio
727,,,0,Documento vazio
728,,,0,Documento vazio
729,,,0,Documento vazio
730,,,0,Documento vazio
731,,,0,Documento vazio
732,,,0,Documento vazio
733,,,0,Documento vazio
734,,,0,Documento vazio
735,,,0,Documento vazio
736,,,0,Documento vazio
737,,,0,Documento vazio
738,,,0,Documento vazio
739,,,0,Documento vazio
740,,,0,Documento vazio
741,,,0,Documento vazio
742,,,0,Documento vazio
743,,,0,Documento vazio
744,,,0,Documento vazio
745,,,0,Documento vazio
746,,,0,Documento vazio
747,,,0,Documento vazio
748,,,0,Documento vazio
749,,,0,Documento vazio
750,,,0,Documento vazio
751,,,0,Documento vazio
752,,,0,Documento vazio
753,,,0,Documento vazio
754,,,0,Documento vazio
755,,,0,Documento vazio
756,,,0,Documento vazio
757,,,0,Documento vazio
758,,,0,Documento vazio
759,,,0,Documento vazio
760,,,0,Documento vazio
761,,,0,Documento vazio
762,,,0,Documento vazio
763,,,0,Documento vazio
764,,,0,Documento vazio
765,,,0,Documento vazio
766,,,0,Documento vazio
767,,,0,Documento vazio
768,,,0,Documento vazio
769,,,0,Documento vazio
770,,,0,Documento vazio
771,,,0,Documento vazio
772,,,0,Documento vazio
773,,,0,Documento vazio
774,,,0,Documento vazio
775,,,0,Documento vazio
776,,,0,Documento vazio
777,,,0,Documento vazio
778,,,0,Documento vazio
779,,,0,Documento vazio
780,,,0,Documento vazio
781,,,0,Documento vazio
782,,,0,Documento vazio
783,,,0,Documento vazio
784,,,0,Documento vazio
785,,,0,Documento vazio
786,,,0,Documento vazio
787,,,0,Documento vazio
788,,,0,Documento vazio
789,,,0,Documento vazio
790,,,0,Documento vazio
791,,,0,Documento vazio
792,,,0,Documento vazio
793,,,0,Documento vazio
794,,,0,Documento vazio
